Border,Date,Measure,Value,Average
US-Mexico Border,03/01/2019 12:00:00 AM,Trucks,258538,0
US-Canada Border,03/01/2019 12:00:00 AM,Trucks,251365,0
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Full,225199,0
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Full,183691,0
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Full,134573,0
US-Mexico Border,03/01/2019 12:00:00 AM,Bus Passengers,134138,0
US-Mexico Border,03/01/2019 12:00:00 AM,Truck Containers Empty,68941,0
US-Canada Border,03/01/2019 12:00:00 AM,Truck Containers Empty,45481,0
US-Canada Border,03/01/2019 12:00:00 AM,Rail Containers Empty,43845,0
US-Canada Border,03/01/2019 12:00:00 AM,Bus Passengers,37046,0
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Empty,24250,0
US-Canada Border,03/01/2019 12:00:00 AM,Pedestrians,15798,0
US-Mexico Border,03/01/2019 12:00:00 AM,Buses,7102,0
US-Canada Border,03/01/2019 12:00:00 AM,Train Passengers,6628,0
US-Mexico Border,03/01/2019 12:00:00 AM,Rail Containers Full,3466,0
US-Canada Border,03/01/2019 12:00:00 AM,Buses,3191,0
US-Mexico Border,03/01/2019 12:00:00 AM,Train Passengers,837,0
US-Canada Border,03/01/2019 12:00:00 AM,Trains,795,0
US-Mexico Border,03/01/2019 12:00:00 AM,Trains,375,0
US-Mexico Border,02/01/2020 12:00:00 AM,Personal Vehicle Passengers,10263348,10858985
US-Mexico Border,02/01/2020 12:00:00 AM,Personal Vehicles,5896683,5871405
US-Mexico Border,02/01/2020 12:00:00 AM,Pedestrians,3739003,4040518
US-Canada Border,02/01/2020 12:00:00 AM,Personal Vehicle Passengers,3100696,4155986
US-Canada Border,02/01/2020 12:00:00 AM,Personal Vehicles,1709486,2226265
US-Mexico Border,02/01/2020 12:00:00 AM,Trucks,520176,511193
US-Canada Border,02/01/2020 12:00:00 AM,Trucks,440166,454930
US-Mexico Border,02/01/2020 12:00:00 AM,Truck Containers Full,350322,374500
US-Canada Border,02/01/2020 12:00:00 AM,Truck Containers Full,327331,353150
US-Mexico Border,02/01/2020 12:00:00 AM,Truck Containers Empty,172526,141386
US-Canada Border,02/01/2020 12:00:00 AM,Rail Containers Full,145938,158087
US-Mexico Border,02/01/2020 12:00:00 AM,Bus Passengers,142210,180135
US-Canada Border,02/01/2020 12:00:00 AM,Truck Containers Empty,118991,114334
US-Canada Border,02/01/2020 12:00:00 AM,Bus Passengers,72939,142824
US-Canada Border,02/01/2020 12:00:00 AM,Rail Containers Empty,54736,61314
US-Mexico Border,02/01/2020 12:00:00 AM,Rail Containers Empty,47126,48977
US-Mexico Border,02/01/2020 12:00:00 AM,Rail Containers Full,40346,37915
US-Canada Border,02/01/2020 12:00:00 AM,Pedestrians,17046,45888
US-Mexico Border,02/01/2020 12:00:00 AM,Buses,11910,12190
US-Canada Border,02/01/2020 12:00:00 AM,Train Passengers,8015,24205
US-Canada Border,02/01/2020 12:00:00 AM,Buses,3850,6463
US-Canada Border,02/01/2020 12:00:00 AM,Trains,1785,1831
US-Mexico Border,02/01/2020 12:00:00 AM,Trains,912,913
US-Mexico Border,02/01/2020 12:00:00 AM,Train Passengers,788,784
US-Mexico Border,01/01/2020 12:00:00 AM,Personal Vehicle Passengers,11214682,10823416
US-Mexico Border,01/01/2020 12:00:00 AM,Personal Vehicles,6242448,5834301
US-Mexico Border,01/01/2020 12:00:00 AM,Pedestrians,4099096,4034660
US-Canada Border,01/01/2020 12:00:00 AM,Personal Vehicle Passengers,2985461,4273039
US-Canada Border,01/01/2020 12:00:00 AM,Personal Vehicles,1686912,2280201
US-Mexico Border,01/01/2020 12:00:00 AM,Trucks,544303,507882
US-Canada Border,01/01/2020 12:00:00 AM,Trucks,457339,454690
US-Mexico Border,01/01/2020 12:00:00 AM,Truck Containers Full,355310,376419
US-Canada Border,01/01/2020 12:00:00 AM,Truck Containers Full,337945,354671
US-Mexico Border,01/01/2020 12:00:00 AM,Bus Passengers,192876,178861
US-Mexico Border,01/01/2020 12:00:00 AM,Truck Containers Empty,185552,136969
US-Canada Border,01/01/2020 12:00:00 AM,Rail Containers Full,157707,158125
US-Canada Border,01/01/2020 12:00:00 AM,Truck Containers Empty,123851,113382
US-Canada Border,01/01/2020 12:00:00 AM,Bus Passengers,60079,151098
US-Canada Border,01/01/2020 12:00:00 AM,Rail Containers Empty,59403,61505
US-Mexico Border,01/01/2020 12:00:00 AM,Rail Containers Empty,48672,49007
US-Mexico Border,01/01/2020 12:00:00 AM,Rail Containers Full,35937,38113
US-Mexico Border,01/01/2020 12:00:00 AM,Buses,13142,12095
US-Canada Border,01/01/2020 12:00:00 AM,Pedestrians,10927,49384
US-Canada Border,01/01/2020 12:00:00 AM,Train Passengers,10573,25569
US-Canada Border,01/01/2020 12:00:00 AM,Buses,3457,6763
US-Canada Border,01/01/2020 12:00:00 AM,Trains,1898,1824
US-Mexico Border,01/01/2020 12:00:00 AM,Trains,910,914
US-Mexico Border,01/01/2020 12:00:00 AM,Train Passengers,736,789
